00,Treballs previs i replanteig general
00.10,Elements auxiliars de replanteig del model
00.10.10,Origen de coordenades
00.10.20,Elements d'alineació de model
00.10.30,Eixos
00.10.40,Nivells
00.20,Preexistències
00.20.10,Edificacions colindants preexistents
00.20.20,Elements d'entorn urbà preexistent
00.20.30,Serveis urbans preexistents
00.30,Assaigs previs
00.30.10,Assaig al terreny
00.30.10.10,Sondeig
00.30.10.20,Penetròmetre
00.30.10.30,Piezòmetre
00.30.20,Assaig d'elements estructurals
00.30.20.10,Assaig sobre element de formigó
00.30.20.20,Assaig sobre estructura d'acer
00.30.20.30,Assaig sobre estructura de fàbrica
10,Adequació del terreny i sustentació de l'edifici
10.10,Actuacions per reduir i controlar les afectacions a edificis veïns, serveis i altres elements
10.10.10,Apuntalaments i estrebades
10.10.10.10,Puntals metàl·lics
10.10.10.20,Ancoratges temporals
10.10.20,Altres actuacions per a controlar afectacions
10.20,Moviment de terres
10.20.10,Topografia
10.20.20,Excavacions
10.20.20.10,Excavació general
10.20.20.20,Excavació de fonamentació
10.20.30,Reblerts
10.20.30.10,Terraplenat
10.20.30.20,Millora del  terreny
10.20.30.30,Reblert trasdos del mur
10.30,Esgotament del nivell freàtic
10.30.10,Elements generals d'esgotament del nivell freàtic
10.30.10.10,Decantador
10.30.10.20,Tuberia per a esgotaments
10.30.10.30,Comptador per a esgotaments
10.30.20,Esgotament amb sistema de bombeig
10.30.20.10,Pou de bombeig
10.30.30,Esgotament amb sistema Wellpoint
10.30.30.10,Llança de succió
20,Sistema estructural
20.10,Fonaments i contenció de terres
20.10.10,Elements superficials
20.10.10.10,Traves
20.10.10.20,Sabates
20.10.10.30,Enceps
20.10.10.40,Lloses de fonamentació
20.10.10.50,Formigó de neteja
20.10.10.60,Pous de fonamentacio
20.10.20,Elements profunds
20.10.20.20,Pantalles de fonamentació
20.10.20.30,Pilons de fonamentació
20.10.20.40,Micropilons
20.10.20.50,Jet-grouting
20.10.30,Elements de contenció
20.10.30.10,Murs de contenció
20.10.30.15,Mur gunitat
20.10.30.20,Pantalles de contenció
20.10.30.30,Pilons de contenció
20.10.30.40,Murs de micropilons
20.10.30.50,Murs de jet-grouting
20.10.30.60,Murs de palplanxes
20.10.30.70,Sistemes d'ancoratge i apuntalament d'elements de contenció definitius
20.10.40,Bases
20.10.40.10,Soleres
20.10.40.20,Rampes
20.10.40.30,Subbases
20.20,Estructura
20.20.10,Estructura vertical
20.20.10.10,Pilars
20.20.10.20,Mènsules
20.20.10.30,Murs estructurals
20.20.10.40,Escales d'estructura
20.20.10.50,Rampes d'estructura
20.20.10.60,Tensors verticals
20.20.20,Estructura horitzontal
20.20.20.10,Forjats
20.20.20.20,Jàsseres
20.20.20.30,Encavallades
20.20.20.40,Biguetes
20.20.20.50,Tensors horitzontals
20.20.30,Estructura tridimensional
20.20.30.10,Volta
20.20.30.20,Arc
20.20.30.30,Cúpula
20.20.30.40,Malla espacial
30,Sistemes d'envolvent i d'acabats exteriors
30.10,Envolvent vertical
30.10.10,Façanes
30.10.10.10,Façanes in situ
30.10.10.20,Façanes prefabricades
30.10.10.30,Sistemes especials de façanes
30.10.10.40,Acabats de façanes
30.10.10.50,Remats de façanes
30.10.20,Fustería de façana
30.10.20.10,Finestres de façanes
30.10.20.20,Portes de façanes
30.10.20.30,Proteccions solars de façanes
30.10.20.40,Proteccions de seguretat de façanes
30.20,Envolvent horizontal superior
30.20.10,Cobertes
30.20.10.10,Cobertes in-situ
30.20.10.20,Cobertes Pre-fabricades
30.20.10.30,Sistemes especials de cobertes
30.20.10.40,Acabats de cobertes
30.20.10.50,Remats de cobertes
30.20.20,Fusteria de cobertes
30.20.20.10,Finestres de cobertes
30.20.20.20,Portes de cobertes
30.20.20.30,Proteccions solars de cobertes
30.20.20.40,Proteccions de seguretat de cobertes
30.30,Envolvent horizontal inferior
30.30.10,Compartimentació exterior Horizontal
30.30.10.10,Falsos sostres exteriors
30.30.10.20,Remats compartimentació exterior horizontal
30.30.20,Acabats envolvent horizontal inferior
30.30.20.10,Revestiments continus d'envolvent inferior
30.30.20.20,Remats envolvent inferior
30.40,Escales i rampes exteriors
30.40.10,Esglaonament exterior
30.40.10.10,Graons exteriors
30.40.10.20,Recrescut de graons exteriors
30.40.20,Acabats d'esglaonament i rampes exteriors
30.40.20.10,Acabat de tram exterior
30.40.20.20,Acabat de replà exterior
40,Sistemes de compartimentació i d'acabats interiors
40.10,Compartimentació i acabats interiors verticals 
40.10.10,Compartimentació interior vertical
40.10.10.10,Envans
40.10.10.20,Mampares
40.10.10.30,Extradossats
40.10.10.40,Fusteria interior
40.10.10.50,Proteccions interiors
40.10.20,Acabats interiors verticals
40.10.20.10,Revestiments discontinus
40.10.20.20,Revestiments continus
40.10.20.30,Remats interiors
40.10.20.40,Pintures i vinils
40.20,Compartimentació i acabats interiors horitzontals
40.20.10,Compartimentació interior horitzontal
40.20.10.10,Falsos sostres interiors
40.20.10.20,Terres tècnics
40.20.10.30,Recrescuts
40.20.20,Acabats interiors horitzontals
40.20.20.10,Revestiments sostres
40.20.20.20,Paviments
40.30,Escales i rampes interiors
40.30.10,Esglaonament interior
40.30.10.10,Graons interiors
40.30.10.20,Recrescut de graons interiors
40.30.20,Acabats d'esglaonament i rampes interiors
40.30.20.10,Acabat de tram interior
40.30.20.20,Acabat de replà interior
40.40,Elements especials d'acabats interiors
40.40.10,Elements de senyalització
40.40.10.10,Senyalització de sostre
40.40.10.20,Senyalització mural
40.40.10.30,Senyalització de terres
40.40.20,Altres elements especials d'acabats interiors
50,Sistemes de condicionaments, instal·lacions i serveis
50.10,Fontaneria
50.10.10,Equips principals de fontaneria
50.10.10.10,Equips de mesura i control de fontaneria
50.10.10.20,Grups de pressió de fontaneria
50.10.10.30,Dipòsits, acumuladors i escalfadors
50.10.20,Xarxa de distribució de fontaneria
50.10.20.10,Vàlvules i instruments de mesura i control de fluxe de fontaneria
50.10.20.20,Dispositius de fontaneria
50.10.20.30,Canalitzacions d'aigua sanitària
50.10.20.40,Canalitzacions d'aigua tractada
50.10.20.50,Arquetes i pous de fontaneria
50.10.20.60,Terminals de fontaneria
50.20,Evacuació d'aigües
50.20.10,Equips principals d'evacuació d'aigües
50.20.10.10,Equips de mesura i control d'evacuació d'aigües
50.20.10.20,Grups de pressió d'evacuació d'aigües
50.20.10.30,Dipòsits d'evacuació d'aigües
50.20.10.40,Dispositius d'evacuació d'aigües
50.20.20,Xarxa de recollida
50.20.20.10,Canalitzacions d'aigües pluvials
50.20.20.20,Canalitzacions d'aigües residuals
50.20.20.30,Canalitzacions d'aigües grises
50.20.20.40,Canalitzacions per a ventilació sanejament
50.20.20.50,Arquetes i pous d'evaquació d'aigües
50.20.20.60,Terminals de drenatge
50.30,Instal·lacions térmiques i de ventilació
50.30.10,Equips de producció d'instal·lacions tèrmiques
50.30.10.10,Torres de refrigeració
50.30.10.20,Unitats exteriors d'instal·lacions tèrmiques
50.30.10.30,Unitats interiors d'instal·lacions tèrmiques
50.30.10.40,Calderes
50.30.10.50,Termoacumuladors
50.30.10.60,Geotèrmia
50.30.10.70,Captadors solars tèrmics
50.30.10.80,Ventiladors
50.30.10.90,Recuperadors
50.30.20,Equips secundaris d'instal·lacions tèrmiques
50.30.20.10,Equips de bombeig d'instal·lacions tèrmiques
50.30.20.20,Silenciadors
50.30.20.30,Comportes
50.30.20.40,Reguladors
50.30.20.50,Condensadors
50.30.20.60,Vàlvules i instruments de mesura i control de fluxe de climatització
50.30.30,Circuits de distribució de fluids fred/calor
50.30.30.10,Línies frigorífiques
50.30.30.20,Línies hidràuliques
50.30.40,Conductes de distribució d'aire
50.30.40.10,Aportació de aire primari
50.30.40.20,Extracció de aire primari
50.30.40.30,Impulsió de aire tractat
50.30.40.40,Retorn de aire tractat
50.30.40.50,Extracció de fums
50.30.50,Terminals i difusors
50.30.50.10,Radiadors
50.30.50.20,Difusors
50.30.50.30,Terra radiant
50.30.50.40,Forjats radiants
50.30.50.50,Reixetes
50.30.60,Dispositius de maniobra i control
50.30.60.10,Cablejat / BUS de climatització
50.30.60.20,Detectors de CO2
50.40,Subministrament de combustibles
50.40.10,Equips principals de subministrament de combustibles
50.40.10.10,Equips de mesura, regulació i control de combustibles
50.40.10.20,Dipòsits de combustible
50.40.10.30,Grups de pressió de combustible
50.40.20,Equips secundaris de subministrament de combustibles
50.40.20.10,Vàlvules i instruments de mesura i control de fluxe de combustibles
50.40.20.20,Dispositius de subministrament de combustibles
50.40.30,Xarxa de distribució de subministrament de combustibles
50.40.30.10,Canalitzacions de subministrament de combustibles
50.40.30.20,Arquetes i pous de subministrament de combustibles
50.40.40,Terminals de subministrament de combustibles
50.40.40.10,Aixetes de subministrament de combustibles
50.40.40.20,Cremadors
50.40.50,Dispositius de maniobra i control
50.40.50.10,Cablejat / BUS per a subministrament de combustibles
50.40.50.20,Detector de gasos 
50.50,Protecció contra incendis
50.50.10,Extinció d'incendis
50.50.10.10,Dipòsits d'extinció d'incendis
50.50.10.20,Grups de pressió d'extinció d'incendis
50.50.10.30,Vàlvules i instruments de mesura i control de fluxe d'extinció d'incendis
50.50.10.40,Dispositius d'extinció d'incendis
50.50.10.50,Canalitzacions d'extinció d'incendis
50.50.10.60,Ruixadors
50.50.10.70,BIES
50.50.10.80,Extintors
50.50.20,Detecció d'incendis
50.50.20.10,Centraletes i racks de detecció d'incendis
50.50.20.20,Equips especials de detecció d'incendis
50.50.20.30,Canalitzacions de detecció d'incendis
50.50.20.40,Caixes de distribució de detecció d'incendis
50.50.30,Dispositius de maniobra i control
50.50.30.10,Polsadors
50.50.30.20,Quadres de comandament per contra incendis
50.50.30.30,Detectors d'incendis
50.50.30.40,Mecanismes d'extinció i detecció d'incendis
50.50.30.50,Cablejat / BUS de contra incendis
50.60,Instal·lacions elèctriques
50.60.10,Equips elèctrics principals
50.60.10.10,Quadres elèctrics
50.60.10.20,Grups electrògens
50.60.10.30,Escomeses elèctriques
50.60.10.40,Transformadors
50.60.20,Equips elèctrics secundaris
50.60.20.10,Bateries i SAI
50.60.20.20,Quadres de comandament elèctric
50.60.20.30,Bateries de condensadors
50.60.20.40,Embarrats i transformadors
50.60.30,Canalitzacions de distribució elèctriques
50.60.30.10,Safates de distribució elèctrica
50.60.30.20,Canals de superfície de distribució eléctrica
50.60.30.30,Caixes de distribució elèctrica
50.60.30.40,Mànegues i tubs de distribució elèctrica
50.60.30.50,Arquetes i pous de distribució elèctrica
50.60.30.60,Cablejat elèctric
50.60.40,Dispositius de maniobra i control
50.60.40.10,Mecanismes
50.60.40.20,Preses
50.60.50,Il·luminació
50.60.50.10,Il·luminació exterior
50.60.50.20,Il·luminació interior
50.60.50.30,Il·luminació d'emergència
50.60.60,Xarxa de terres
50.60.60.10,Parallamps
50.60.60.20,Piquetes i arquetes
50.60.60.30,Mecanismes de la xarxa de terres
50.70,Telecomunicacions i audiovisuals
50.70.10,Equips principals de telecomunicacions
50.70.10.10,Antenes
50.70.10.20,Escomeses de telecomunicacions
50.70.10.30,Armaris RACK
50.70.10.40,Servidors
50.70.20,Equips secundaris de telecomunicacions
50.70.20.10,Conversors
50.70.20.20,Amplificadors
50.70.20.30,Altaveus
50.70.20.40,Centraletes
50.70.20.50,Routers
50.70.20.60,Monitors
50.70.30,Canalitzacions de distribució per a senyals dèbils
50.70.30.10,Safates de distribució per a senyals dèbils
50.70.30.20,Canals de superficie  per a senyals dèbils
50.70.30.30,Caixes de distribució per a senyals dèbils
50.70.30.40,Cablejat  de senyals dèbils
50.70.30.50,Mànegues i tubs de distribució per a senyals dèbils
50.70.30.60,Arquetes i pous  per a senyals dèbils
50.70.40,Dispositius de maniobra i control de telecomunicacions
50.70.40.10,Preses de telecomunicacions 
50.70.40.20,Quadres de comandament de telecomunicacions
50.70.50,Terminals de telecomunicacions
50.70.50.10,Equips de telecomunicacions
50.70.50.20,Emissors de telecomunicacions
50.80,Seguretat i antiintrusió
50.80.10,Equips de seguretat i antiintrusió
50.80.10.10,Racks per seguretat i antiintrusió
50.80.10.20,Centraletes de seguretat
50.80.10.30,Telefonia
50.80.20,Sistemes anti-intrusió
50.80.20.10,Detectors anti-intrusió
50.80.20.20,Circuits de TV
50.80.20.30,Sensors anti-intrusió
50.80.30,Elements de control de persones
50.80.30.10,Control de accessos
50.80.40,Elements de control de vehicles
50.80.40.10,Gestió de trànsit
50.80.50,Elements d'avís i alarma
50.80.50.10,Sirenes
50.90,Instal·lacions especials
50.90.10,Equips principals d'instal·lacions especials
50.90.10.10,Equips de mesura, regulació i control especials
50.90.10.20,Dipòsits d'instal·lacions especials
50.90.10.30,Grups de pressió d'instal·lacions especials
50.90.20,Equips secundaris d'instal·lacions especials
50.90.20.10,Vàlvules i instruments de mesura i control de fluxe especials
50.90.20.20,Dispositius especials
50.90.30,Xarxa de distribució d'instal·lacions especials
50.90.30.10,Canalitzacions especials
50.90.30.20,Arquetes i pous d'instal·lacions especials
50.90.40,Terminals d'instal·lacions especials
50.90.40.10,Aixetes per a instal·lacions especials
50.90.40.20,Altres terminals especials
50.90.50,Dispositius de maniobra i control
50.90.50.10,Comandaments
50.90.50.20,Detectors especials
50.90.50.30,Sensors especials
50.90.50.40,Altres dispositius de maniobra i control especials
50.100,Altres elements d'instal·lacions
50.100.10,Elements comuns d'instal·lacions
50.100.10.10,Elements de suport
50.100.10.20,Passareles i escales d'acces per a manteniment
