SL_20_10_47,Legislative chamber
SL_20_10_49,Legislative chamber viewing gallery
SL_20_15_15,Confidential meeting room
SL_20_15_27,Enclosed office
SL_20_15_50,Meeting room
SL_20_15_59,Office
SL_20_15_61,Open-plan office
SL_20_15_71,Reception area
SL_20_15_73,Reprographic room
SL_20_45_27,Electric motor vehicle charging point
SL_20_45_29,Fuel filling station air and water point
SL_20_45_30,Fuel filling station forecourt
SL_20_45_31,Fuel filling station tank area
SL_20_45_53,Motor vehicle maintenance area
SL_20_45_95,Vehicle inspection pit
SL_20_45_96,Vehicle servicing area
SL_20_50_03,Ambient wholesale space
SL_20_50_05,Auction room
SL_20_50_10,Beauty salon
SL_20_50_12,Checkout point
SL_20_50_22,Department store shop floor
SL_20_50_29,Financial and professional service outlet
SL_20_50_30,Fitting room
SL_20_50_32,Food and drink outlet
SL_20_50_36,Hair and beauty salon
SL_20_50_37,Hair salon
SL_20_50_47,Livestock auction room
SL_20_50_51,Market stall
SL_20_50_55,Motor vehicle showroom
SL_20_50_70,Refrigerated wholesale space
SL_20_50_72,Retail kiosk
SL_20_50_85,Supermarket shop floor
SL_20_50_86,Tan spray booth
SL_20_50_87,Tattoo and piercing parlour
SL_20_50_96,Waste and scrap yard
SL_20_55_45,Letter sorting office
SL_20_55_50,Mail order sorting and despatch facility
SL_20_55_60,Parcel sorting office
SL_20_55_65,Post room
SL_20_60_08,Bombardment shelter
SL_20_60_27,Emergency shelter
SL_20_60_70,Radiation protection shelter
SL_20_60_98,War emergency centre
SL_20_62_65,Parade ground
SL_20_65_15,Command and control space
SL_20_65_28,Examination room
SL_20_65_39,Identification control room
SL_20_65_40,Identification suite
SL_20_65_41,Interview monitoring room
SL_20_65_42,Interview room
SL_20_65_65,Police boxe
SL_20_70_15,Courtroom
SL_20_70_18,Courtroom viewing gallery
SL_20_70_23,Defendant dock
SL_20_70_28,Evidence room
SL_20_70_41,Judicial benche
SL_20_70_44,Jury boxe
SL_20_70_97,Witness stand
SL_20_75_02,Accessible cell
SL_20_75_13,Charge area
SL_20_75_15,Communal inmate dayroom
SL_20_75_17,Constant observation cell
SL_20_75_22,Detention cell
SL_20_75_23,Dirty protest cell
SL_20_75_24,Double-occupancy cell
SL_20_75_25,Dry cell
SL_20_75_28,Exercise yard
SL_20_75_35,Guard station
SL_20_75_38,Holding cell
SL_20_75_39,Holding room
SL_20_75_46,Listener suite
SL_20_75_48,Low-mobility cell
SL_20_75_50,Medical single-occupancy cell
SL_20_75_51,Medical single-occupancy end-of-life cell
SL_20_75_52,Medical single-occupancy isolation cell
SL_20_75_53,Medical single-occupancy social care cell
SL_20_75_54,Medical multiple-occupancy ward
SL_20_75_55,Multiple-occupancy bedroom
SL_20_75_65,Protest cell
SL_20_75_70,Regular care and separation unit (CaSU) cell
SL_20_75_75,Sally port
SL_20_75_77,Secure visiting room
SL_20_75_79,Single-occupancy cell
SL_20_75_82,Specimen capture cell
SL_20_75_95,Vehicle impound yard
SL_20_80_03,Artillery firing range
SL_20_80_30,Firing range
SL_20_80_63,Pistol firing range
SL_20_80_72,Rifle firing range
SL_20_85_63,Pedestrian security checkpoint
SL_20_85_75,Security control space
SL_20_85_80,Security office
SL_20_85_95,Vehicular security checkpoint
SL_20_90_23,Emergency and rescue equipment space
SL_20_90_25,Escape stair
SL_20_90_28,Firefighting stair
SL_20_90_30,Fire refuge space
SL_20_90_31,Fire training space
SL_20_90_60,Protected escape corridor
SL_20_95_20,Detection zone
SL_20_95_28,Evacuation zone
SL_20_95_30,Fire compartment
SL_20_95_32,Fire suppression zone
SL_20_95_80,Smoke control zone
SL_25_05_72,Commemoration site
SL_25_10_01,Activity studio
SL_25_10_04,Art room
SL_25_10_05,Assembly hall
SL_25_10_08,Biology teaching laboratory
SL_25_10_13,Chemistry teaching laboratory
SL_25_10_14,Classroom
SL_25_10_15,Common room
SL_25_10_17,Craft classroom
SL_25_10_21,Dance studio
SL_25_10_22,Dissection theatre
SL_25_10_24,Drama studio
SL_25_10_25,Driving skid pan
SL_25_10_26,Driving tuition space
SL_25_10_28,Educational workshop
SL_25_10_30,Food room
SL_25_10_39,Infant classroom
SL_25_10_40,Information and communication technology (ICT) laboratory
SL_25_10_41,Information and communication technology (ICT)-rich classroom
SL_25_10_44,Junior classroom
SL_25_10_46,Language laboratory
